Rank,Team,ELO_Rating,Avg_Rating,1_Year_Change,Total_Matches,Home,Away,Neutral,Wins,Losses,Draws,Goals_For,Goals_Against
27,Russia,1776,1742,-15,812,311,382,119,430,173,209,1476,778
28,Serbia,1769,1787,-74,860,302,423,135,403,265,192,1617,1173
29,Scotland,1767,1879,+25,867,402,413,52,411,268,188,1495,1075
29,Ukraine,1767,1745,-42,338,134,144,60,153,90,95,475,356
31,Iran,1760,1658,-70,668,223,195,250,382,132,154,1270,524
32,South Korea,1752,1687,+6,1050,353,255,442,571,221,258,1907,964
32,Nigeria,1752,1668,+194,713,241,262,210,330,179,204,1073,721
32,Greece,1752,1559,-77,656,298,295,63,251,249,156,833,906
35,Algeria,1743,1621,+35,688,261,233,194,309,196,183,1052,703
36,Panama,1737,1362,+14,591,200,227,164,196,251,144,736,906
37,Poland,1729,1712,+25,919,395,410,114,400,295,224,1562,1239
38,Uzbekistan,1727,1596,+30,365,130,128,107,180,110,75,635,398
38,Venezuela,1727,1432,-15,481,179,179,123,129,245,107,521,872
40,Czechia,1726,1855,-29,882,360,416,106,424,261,197,1624,1097
41,United States,1721,1642,-1,825,487,253,85,366,286,173,1246,1073
41,Kosovo,1721,1420,+122,107,48,39,20,42,42,23,152,145
43,Sweden,1719,1795,-17,1118,489,499,130,549,335,234,2226,1482
44,Chile,1710,1678,-12,852,328,307,217,318,346,188,1194,1216
45,Hungary,1703,1835,-12,1033,467,492,74,487,324,222,2069,1525
46,Wales,1698,1671,-38,733,345,356,32,236,331,166,917,1173
47,Peru,1695,1679,-29,708,266,253,189,228,304,176,857,987
48,Slovenia,1694,1625,-50,319,144,145,30,116,117,86,399,378
49,Ireland,1692,1626,+58,741,377,304,60,261,287,193,977,1160
50,Jordan,1690,1322,+57,582,201,191,190,206,218,158,727,710
51,Egypt,1689,1662,+23,883,353,281,249,446,216,221,1544,921
52,Ivory Coast,1676,1640,+85,692,241,237,214,348,166,178,1130,695
53,Slovakia,1673,1681,-11,366,156,166,44,149,131,86,517,457
54,DR Congo,1655,1557,+89,547,166,225,156,226,171,150,835,641
55,Georgia,1653,1553,-63,319,139,148,32,106,146,67,412,443
56,Albania,1646,1504,+13,408,190,185,33,116,207,85,396,602
57,Bolivia,1645,1509,-6,536,189,205,142,122,293,121,551,1052
58,Tunisia,1636,1616,+25,775,337,251,187,330,229,216,1105,839
59,Israel,1634,1621,+38,523,249,212,62,196,207,120,803,764
60,Romania,1627,1717,-58,800,332,376,92,354,247,199,1303,1018
61,Costa Rica,1614,1690,-39,789,259,281,249,356,242,191,1368,916
61,Cameroon,1614,1604,+26,661,184,247,230,287,172,202,952,712
63,Iraq,1607,1622,+68,759,139,231,389,359,189,211,1202,707
64,Northern Ireland,1601,1655,+44,610,276,297,37,171,289,150,643,925
65,Mali,1596,1523,-16,624,195,234,195,249,205,170,824,716
66,Bosnia and Herzegovina,1594,1626,+68,279,117,136,26,104,111,64,393,385
67,North Macedonia,1589,1533,-24,303,141,132,30,95,130,78,364,407
68,New Zealand,1585,1499,-10,439,135,189,115,181,179,79,767,645
69,Honduras,1571,1500,+11,667,212,217,238,263,231,173,964,857
69,Iceland,1571,1425,+40,525,216,250,59,160,261,104,635,881
71,Saudi Arabia,1568,1501,+6,835,322,151,362,396,245,194,1281,892
72,Cape Verde,1549,1302,+45,251,80,91,80,94,97,60,267,278
73,Angola,1543,1456,+8,473,166,184,123,175,140,158,575,489
74,Finland,1542,1500,+2,823,337,428,58,217,439,167,971,1693
75,United Arab Emirates,1540,1395,-1,674,287,141,246,263,238,173,933,831
76,Jamaica,1535,1413,-24,716,272,268,176,279,271,166,958,938
77,Haiti,1532,1417,-21,561,181,196,184,246,197,118,957,759
78,Burkina Faso,1530,1402,+31,491,154,186,151,170,191,130,612,672
79,South Africa,1524,1707,-74,524,275,161,88,231,141,152,719,542
80,Guatemala,1515,1486,+20,626,205,180,241,225,235,166,877,852
81,Belarus,1513,1505,+22,306,103,158,45,90,137,79,342,442
82,Ghana,1505,1651,+43,777,247,296,234,370,212,195,1247,820
83,Syria,1491,1429,+52,596,126,221,249,225,225,146,869,754
84,Oman,1490,1211,-48,591,229,144,218,222,218,151,753,780
85,Bulgaria,1475,1633,+15,779,298,399,82,286,299,194,1092,1149
86,Guinea,1469,1516,+19,645,172,263,210,251,210,184,953,803
86,Palestine,1469,1254,+42,289,19,111,159,83,128,78,368,445
88,Northern Cyprus,1457,1463,0,17,5,3,9,9,6,2,30,23
89,Montenegro,1439,1597,-88,172,91,76,5,57,73,42,202,237
90,Curaçao,1436,1381,+113,498,173,176,149,201,173,124,879,767
90,Luxembourg,1436,1256,-22,473,257,200,16,54,357,62,308,1224
92,Suriname,1431,1404,+30,543,231,222,90,239,175,129,986,740
93,Kazakhstan,1430,1420,+4,270,103,121,46,70,142,58,283,450
94,Benin,1429,1356,+21,352,129,142,81,87,181,84,364,617
95,Qatar,1425,1416,-73,697,328,146,223,289,232,176,993,825
96,Kurdistan,1424,1424,0,4,2,0,2,3,0,1,12,3
97,China,1423,1577,+21,762,271,264,227,368,231,163,1420,861
97,Gambia,1423,1309,+50,298,108,100,90,81,135,82,318,430
99,Libya,1420,1470,+35,459,164,166,129,166,185,108,621,611
100,Bahrain,1418,1349,-82,636,218,158,260,223,247,166,780,824
101,Gabon,1401,1413,-65,462,184,154,124,159,174,129,551,567
102,Uganda,1394,1482,+5,736,251,257,228,304,238,194,1108,887
103,Niger,1393,1239,+71,290,100,117,73,65,157,68,286,515
104,Trinidad and Tobago,1392,1505,-39,870,344,364,162,375,302,193,1446,1122
105,Equatorial Guinea,1390,1159,-100,195,80,64,51,56,95,44,182,287
106,Madagascar,1382,1366,+84,356,120,120,116,136,142,78,494,532
106,Faroe Islands,1382,1252,+111,281,119,139,23,50,194,37,212,640
108,Armenia,1379,1418,-7,281,113,132,36,66,158,57,281,537
109,Thailand,1376,1317,-7,933,388,199,346,366,358,209,1485,1406
110,North Korea,1375,1567,-6,417,50,149,218,175,127,115,641,447
111,Mozambique,1372,1332,-91,442,166,176,100,139,192,111,465,580
112,Zimbabwe,1371,1462,-23,551,190,223,138,206,184,161,737,667
113,Zambia,1370,1551,-35,879,282,360,237,393,261,225,1389,954
114,Comoros,1362,941,-51,158,29,35,94,40,81,37,144,246
115,Togo,1358,1439,-12,493,179,198,116,157,210,126,533,673
116,Kenya,1356,1379,-22,779,291,283,205,293,293,193,1073,1061
117,Vietnam,1351,1298,-8,525,174,131,220,222,200,103,922,771
118,Sudan,1350,1444,-46,553,154,204,195,187,225,141,628,730
119,Sierra Leone,1348,1368,+23,336,115,141,80,97,150,89,329,477
120,Reunion,1345,1184,0,139,53,38,48,55,55,29,237,252
121,El Salvador,1342,1472,-48,685,210,209,266,227,305,153,863,1022
122,Azerbaijan,1340,1397,-28,322,116,152,54,66,175,81,263,542
123,Estonia,1339,1353,-52,539,229,255,55,132,287,120,531,962
124,Guadeloupe,1338,1408,-38,293,92,89,112,128,114,51,507,410
125,Rwanda,1336,1206,+14,290,107,100,83,90,126,74,298,364
126,Lebanon,1333,1333,-10,420,140,144,136,123,185,112,507,619
127,Indonesia,1331,1361,-11,782,250,192,340,297,332,153,1313,1269
128,Kuwait,1328,1468,+5,761,269,175,317,321,248,192,1196,878
129,Nicaragua,1327,1031,+5,251,63,98,90,54,166,31,258,617
130,Zanzibar,1321,1119,0,217,37,45,135,39,131,47,186,458
131,Tanzania,1313,1295,-91,658,244,237,177,193,280,185,752,963
132,Martinique,1312,1458,-61,371,136,125,110,167,116,88,676,488
133,Mauritania,1311,1115,-35,298,91,103,104,55,173,70,215,526
134,Namibia,1303,1272,-49,304,102,121,81,77,135,92,295,424
135,Latvia,1301,1399,+11,457,192,212,53,128,219,110,535,752
135,Cyprus,1301,1378,+4,427,237,184,6,83,271,73,384,931
137,Liberia,1296,1342,+34,340,145,143,52,90,174,76,315,519
138,Malaysia,1293,1288,+33,929,390,241,298,362,356,211,1513,1348
139,Guyana,1292,1293,+24,456,179,194,83,142,224,90,589,790
140,Kyrgyzstan,1291,1203,-31,190,47,74,69,55,105,30,208,337
141,Lithuania,1290,1318,0,416,169,206,41,106,229,81,414,757
142,Burundi,1286,1285,+5,240,52,88,100,74,111,55,274,329
142,New Caledonia,1286,1357,+1,285,87,71,127,141,110,34,739,419
144,Tajikistan,1285,1334,-4,210,55,84,71,79,86,45,301,295
144,Ethiopia,1285,1394,+6,472,214,163,95,170,199,103,655,690
146,Dominican Republic,1284,1060,-6,189,86,63,40,69,88,32,299,303
147,Botswana,1267,1167,-78,368,166,136,66,98,166,104,311,490
148,Moldova,1262,1391,-60,300,114,145,41,60,172,68,244,520
149,Guinea-Bissau,1248,1282,-34,215,66,64,85,58,104,53,215,320
150,Malawi,1241,1327,-38,698,306,243,149,232,264,202,816,900
151,Cuba,1239,1438,-8,485,103,212,170,185,189,111,678,684
152,Central African Republic,1237,1295,-28,162,32,67,63,36,93,33,180,322
152,Malta,1237,1322,-18,454,246,182,26,65,313,76,295,1018
154,French Guiana,1223,1246,0,190,66,67,57,57,92,41,280,328
155,Mayotte,1216,1202,0,41,2,11,28,13,17,11,55,59
156,Turkmenistan,1209,1358,-6,187,42,76,69,71,82,34,288,281
157,Congo,1207,1471,-16,474,180,188,106,173,186,115,679,662
158,Lesotho,1205,1179,-32,352,113,147,92,70,179,103,279,575
159,Eritrea,1201,1158,+62,86,20,28,38,17,50,19,61,137
160,Tahiti,1176,1386,0,254,58,71,125,136,82,36,693,383
161,Philippines,1167,1068,+37,395,108,127,160,97,238,60,422,1021
162,Yemen,1151,1212,+42,294,56,87,151,65,173,56,302,573
163,Eswatini,1149,1168,-75,324,123,131,70,71,158,95,297,542
164,Saint Vincent and the Grenadines,1141,1322,-10,365,138,135,92,131,150,84,566,648
165,India,1138,1341,-24,608,177,170,261,220,260,128,836,994
165,Puerto Rico,1138,936,+21,195,73,67,55,46,120,29,229,488
167,Singapore,1137,1228,+78,770,320,185,265,241,372,157,1031,1394
168,Papua New Guinea,1135,1091,+31,165,30,43,92,54,80,31,352,356
169,Hong Kong,1120,1287,-18,512,182,151,179,177,233,102,814,871
170,Bermuda,1119,1283,-11,235,106,82,47,79,111,45,375,414
171,Vanuatu,1114,1104,+69,225,52,51,122,70,124,31,400,482
172,South Sudan,1109,1087,-24,81,18,29,34,13,52,16,55,145
173,Fiji,1108,1246,-119,286,106,63,117,126,105,55,644,459
174,Grenada,1098,1370,+26,310,115,116,79,103,129,78,490,561
175,Andorra,1077,1050,+11,228,91,105,32,14,182,32,75,539
176,Mauritius,1073,1335,+29,359,124,151,84,100,174,85,450,572
176,Chad,1073,1244,-76,182,45,59,78,35,105,42,165,340
176,Belize,1073,1114,-15,129,44,44,41,32,74,23,138,245
179,Solomon Islands,1054,1183,-72,223,59,62,102,94,92,37,480,428
180,Saint Martin,1042,982,+24,86,18,36,32,33,44,9,136,191
181,Sao Tome and Principe,1035,1056,-3,82,24,36,22,11,60,11,59,213
182,Saint Kitts and Nevis,1029,1174,-56,252,121,80,51,104,101,47,431,396
183,Afghanistan,1011,920,-50,165,8,66,91,37,90,38,152,336
184,Somaliland,1005,1004,0,2,0,0,2,1,0,1,4,3
185,Saint Lucia,1003,1241,-31,264,89,108,67,90,132,42,361,485
186,Gibraltar,1002,1082,-50,116,39,49,28,16,85,15,62,343
187,Western Sahara,996,996,0,1,0,1,0,0,1,0,0,6
188,Myanmar,982,1244,+40,552,119,138,295,218,230,104,892,952
189,Aruba,979,1199,+66,207,83,80,44,52,111,44,298,467
189,Somalia,979,1072,+68,150,10,48,92,15,112,23,78,375
191,Sint Maarten,975,909,+43,75,16,25,34,23,39,13,107,194
192,Montserrat,971,641,+21,74,15,26,33,18,48,8,76,235
193,Greenland,946,975,0,22,2,7,13,5,16,1,35,50
194,Djibouti,940,872,+11,121,28,40,53,11,99,11,83,424
195,Dominica,934,1196,-36,246,69,97,80,60,132,54,288,488
196,Bangladesh,932,980,+10,326,92,96,138,87,166,73,298,583
197,Liechtenstein,904,1114,-2,257,114,124,19,19,206,32,104,722
198,Monaco,903,900,0,9,0,1,8,4,2,3,11,15
199,Barbados,898,1243,-59,375,168,132,75,117,162,96,492,616
200,Antigua and Barbuda,894,1179,-23,285,116,101,68,95,136,54,394,491
201,Nepal,893,889,-55,295,74,91,130,68,174,53,247,665
202,Seychelles,853,987,+2,190,51,58,81,26,131,33,144,425
203,Maldives,848,884,-29,239,63,82,94,67,133,39,289,534
204,Cambodia,844,1058,+7,316,80,93,143,71,200,45,361,816
205,San Marino,836,917,-9,226,109,110,7,3,211,12,42,891
205,Bonaire,836,1037,+1,103,19,52,32,24,67,12,116,255
207,Sri Lanka,827,933,+90,284,70,89,125,57,177,50,274,692
208,Taiwan,821,1169,-93,339,96,109,134,96,191,52,465,788
209,Pakistan,812,1101,-12,284,63,96,125,63,170,51,272,642
210,Cayman Islands,805,1000,-23,128,60,38,30,26,77,25,124,309
211,Chagos Islands,782,783,0,4,0,0,4,1,2,1,8,10
212,Tuvalu,756,745,0,34,0,4,30,9,21,4,47,182
213,Sint Eustatius,737,753,0,11,3,8,0,5,2,4,33,30
214,Laos,734,895,+47,235,49,69,117,43,157,35,235,739
215,Mongolia,729,842,0,100,22,37,41,21,68,11,100,282
216,Samoa,728,659,0,77,28,15,34,23,50,4,109,279
217,British Virgin Islands,727,788,+105,137,35,62,40,23,90,24,127,398
218,Saint Barthelemy,725,706,0,10,7,3,0,4,5,1,25,29
219,Guam,718,693,+5,130,25,43,62,31,86,13,167,581
220,Wallis and Futuna,699,699,0,24,0,5,19,5,19,0,23,109
221,Vatican,692,697,0,5,0,0,5,0,3,2,1,6
222,Saba,691,675,0,8,5,3,0,2,4,2,25,26
223,Bahamas,685,872,-107,90,30,32,28,17,62,11,90,291
224,Saint Pierre and Miquelon,677,678,0,7,0,0,7,0,7,0,2,78
225,East Timor,673,630,+15,90,5,46,39,11,72,7,80,284
226,Turks and Caicos Islands,657,766,+9,56,16,22,18,13,37,6,54,197
227,Anguilla,646,556,+21,117,31,50,36,16,87,14,74,413
228,Bhutan,636,599,-1,115,20,39,56,12,95,8,67,415
229,Brunei,633,777,-32,151,29,42,80,27,111,13,119,485
230,Tibet,629,665,0,10,0,3,7,0,9,1,8,38
231,US Virgin Islands,628,685,+41,81,27,35,19,10,58,13,55,300
232,Cook Islands,622,681,0,56,4,14,38,13,39,4,50,276
233,Macao,588,945,-10,161,51,50,60,24,120,17,141,490
234,Christmas Island,578,577,0,10,6,4,0,7,2,1,29,8
235,Falkland Islands,571,585,0,4,0,1,3,0,4,0,0,25
236,FS Micronesia,563,571,0,8,1,3,4,1,7,0,8,64
237,Marshall Islands,559,559,-,2,0,0,2,0,2,0,2,7
238,Kiribati,544,578,0,11,0,2,9,0,10,1,7,126
239,Tonga,520,651,0,70,10,15,45,16,48,6,82,265
240,Niue,496,496,0,2,0,0,2,0,2,0,0,33
241,Northern Mariana Islands,432,512,0,36,7,11,18,5,28,3,43,153
242,Cocos Islands,422,423,0,10,4,6,0,2,7,1,8,29
243,Palau,402,402,0,2,2,0,0,0,2,0,3,27
244,Eastern Samoa,369,467,-19,59,0,15,44,5,52,2,36,385
